"","current_character","current_dialogue"
"897","                                             ROCKET","Yondu! We're about to blow!"
"898","                                             YONDU","Get to the ship."
"899","                                             ROCKET","Not without Quill."
"900","                                             YONDU","You gotta take care of the twig."
"901","                                             ROCKET","Not without you."
"902","                                             YONDU","I ain't done nothing right my whole damn life, rat. You need to give me  this."
"903","                                             ROCKET","A space suit and an aero rig. I  only have one of each."
"904","                                             GROOT","I am Groot."
"905","                                             YONDU","What's that?"
"906","                                             ROCKET","He says welcome to the frickin' Guardians of the Galaxy... only he  didn't use `frickin'."
"907","                                                YONDU","Bye, twig."
"908","                                             ROCKET","We're gonna need to have a  discussion about your language."
"909","                                                   GAMORA","Where's Peter?"
"910","                                                   GAMORA ","Rocket, where is he?!"
"911","                                                   GAMORA ","Rocket?! Rocket, look at me! Where  is he?!"
"912","                                                   GAMORA ","I'm not leaving without him."
"913","                                                   ROCKET","Kraglin, GO!"
"914","                                                   DRAX","Rocket, where's Quill?!"
"915","                                    DRAX ","251             Where's Quill?! WHERE'S QUILL?!                   251"
"916","                                             EGO","No, we need to stop it!"
"917","                                             EGO ","Listen to me! You are a god! If you kill me, you'll just be like  everyone else!"
"918","                                             QUILL","What's so wrong with that?"
"919","                                             EGO","NO -"
"920","                                             YONDU","He may have been your father, boy.  But he wasn't your daddy."
"921","                                             QUILL","What?"
"922","                                             YONDU","I'm sorry I didn't do it right. I'm  damn lucky you're my boy."
"923","                                             QUILL","What?"
"924","                                             QUILL","Yondu, you can't! What are you  doing? What are you doing?!"
"925","                                             QUILL ","Yondu. Yondu, no!"
"926","                                                QUILL ","No."
"927","                                                QUILL ","No!"
"928","                                                QUILL","The other day I told Gamora how I used to pretend my dad was David  Hasselhoff."
"929","                                                QUILL ","He's a singer and actor from  earth... a really famous guy."
"930","                                                QUILL ","And, you know, today it struck me. Yondu didn't have a talking car, but he did have a flying arrow. And he didn't have the voice of an angel, but he did have the whistle of one. And both David Hasselhoff and Yondu went on kickass adventures, and hooked up with hot  women, and fought robots."
"931","                                             QUILL ","So, the thing is, David Hasselhoff kinda did end up being my Dad after all, only he was Yondu. I had a  pretty cool Dad."
"932","                                             QUILL ","And what I'm trying to say here is, that thing you're searching for your whole life, sometimes it's right there by your side all along  and you don't even know it."
"933","                                             GROOT","I am Groot?"
"934","                                             ROCKET","Yeah. That's the friend I was  talking about."
"935","                                             GROOT","I am Groot."
"936","                                             ROCKET","He did call you `twig.'"
"937","                                             GAMORA","Nebula."
"938","                                             GAMORA ","I was just a child. Like you. I was concerned with staying alive until the next day - every day. And I never considered what Thanos was  doing to you. I am sorry."
"939","                                             GAMORA ","I'm trying to make it right,  everything I did."
"940","                                             GAMORA ","There are little girls like you were - little boys - all over the universe - who are in danger. You  can stay with us, and help them."
"941","                                             NEBULA","I'll help them by killing Thanos."
"942","                                             GAMORA","I don't know if that's possible."
"943","                                             GAMORA ","You'll always be my sister."
"944","                                                KRAGLIN","Pete."
"945","                                             KRAGLIN ","Cap'n found this for you in a junker shop. Said someday you'd  come back to the fold."
"946","                                             KRAGLIN ","It's called a Zune - what everyone listens to on earth nowadays. It's  got three hundred songs."
"947","                                             QUILL","Wait."
"948","                                             QUILL ","Rocket grabbed the pieces and reassembled them. I think Yondu  would want you to have it."
"949","                                             KRAGLIN","Thank you... Cap'n."
"950","                                                ROCKET","They came."
"951","                                             DRAX","What is it?"
"952","                                             ROCKET","I sent word to Yondu's old Ravager  buddies and told them what he did."
"953","                                             QUILL","It's a Ravager funeral."
"954","                                             MARTINEX","He didn't let us down after all,  Cap'n."
"955","                                             STAKAR","No, he did not, son. He did not."
"956","                                             ALETA","See you in the stars, Yondu Udonta."
"957","                                             ROCKET","He didn't chase `em away."
"958","                                             QUILL","No."
"959","                                             ROCKET","Even though he yelled at `em."
"960","                                             ROCKET ","And was always mean."
"961","                                             ROCKET ","And he stole batteries he didn't  need."
"962","                                             QUILL","Of course not."
"963","                                             QUILL ","What?"
"964","                                             GAMORA","It's just some unspoken thing."
"965","                                             MANTIS","It's beautiful."
"966","                                              DRAX","On the inside."
"967","                                             STAKAR","It's a shame it takes a tragedy like losing Yondu to bring us all back together. But I think he'd be proud if he knew we were working as  a team again."
"968","                                             STAKAR ","What say we steal some shit?"
"969","                                                MARTINEX","Dope."
"970","                                             MAINFRAME","I MISSED you guys!"
"971","                                                ALETA","Hell. Yes."
"972","                                             CHAMBERMAID","High Priestess, the Council is  waiting."
"973","                                             AYESHA","They are perturbed I have wasted  our resources."
"974","                                             AYESHA ","When they see what I have created here, their wrath will dissipate,  though it will be some time."
"975","                                             CHAMBERMAID","That is not just another birthing  pod, ma'am?"
"976","                                             AYESHA","That, my child, is the next step in our evolution: more powerful, more beautiful, and more capable of destroying the Guardians of the  Galaxy."
"977","                                             AYESHA ","I think I shall call him... `Adam'."
"978","                                             QUILL","Dude, seriously, you got to clean  up your room. It's a complete mess."
"979","                                             ADOLESCENT GROOT","I am Groot."
"980","                                             QUILL","I'm not boring, man. You're boring. Once I got stuck on a planet where everyone was just lines and dots. I had to use geometry to get out of  prison. Is that boring?"
"981","                                             QUILL ","You know what's boring? Not doing the dishes. What's boring is me tripping over your vines  everywhere."
"982","                                             QUILL ","Drax and I switched pants in the middle of that party last weekend. For no reason other than we're  awesome and very much not boring."
"983","                                             QUILL ","Once I got a venereal disease that made me float for three days... Don't tell Gamora... it's dormant, but... If that's boring then, I  guess I'm boring."
"984","                                             QUILL ","I'm not boring."
"985","                                             QUILL ","What's boring is when you roll your eyes like that at me and make an exasperated sound like I'm an old,  boring, stupid idiot."
"986","                                             QUILL ","Now I know how Yondu felt."
"987","                                                QUILL ","Yondu."
